code,name,weight,shares,price
2887,台新新光金,2.22,6940000,23.6
2883,凱基金控,1.9,6211000,21.55
2880,華南金控,1.98,4816000,30.15
2891,中信金,3.12,3828000,57.6
1402,遠東新,1.22,3775000,26.05
2885,元大金,2.87,3507000,57.3
1102,亞泥,1.52,3355000,33.25
2324,仁寶,1.41,3062000,33.6
9904,寶成,0.99,2851000,25.55
2882,國泰金,3.22,2747000,83.1
2881,富邦金控,3.99,2638025,103.5
2303,聯電,5.09,2572000,130.5
6005,群益證券,1.14,2364000,33.05
2897,王道銀行,0.27,1940000,9.98
3045,台灣大,2.8,1851000,110.5
2618,長榮航,0.76,1583000,35.2
4904,遠傳,1.68,1312000,94.0
1434,福懋,0.25,1232000,15.0
9907,統一實,0.24,1116000,15.85
2820,華票,0.24,1041000,16.8
2382,廣達,4.15,968000,316.5
2356,英業達,0.82,963000,62.6
2903,遠百,0.27,882000,22.1
2501,國建,0.25,846000,21.7
1216,統一,0.8,833000,70.8
3702,大聯大,1.27,766000,121.5
1227,佳格,0.26,676000,28.25
3036,文曄,2.7,663000,293.5
2851,中央再保,0.31,650000,35.15
2855,統一證券,0.34,550000,42.0
1326,台化,0.34,548000,44.5
2006,東和鋼鐵,0.38,412000,65.2
8070,長華*,0.28,408000,49.55
3714,富采,0.39,386000,79.4
2603,長榮海運,1.05,361000,211.5
1785,光洋科,0.7,358000,143.0
3706,神達投資控股,0.41,355000,87.4
8069,元太,0.99,290000,249.0
2637,慧洋-KY,0.28,273000,74.8
2353,宏碁,0.11,264000,31.9
8112,至上電子,0.28,240000,83.3
2441,超豐,0.43,232000,136.0
3026,禾伸堂,1.92,230000,570.0
8415,大國鋼,0.1,216000,34.85
2379,瑞昱,1.77,213000,590.0
8039,台虹科技,0.46,209000,155.5
2385,群光,0.39,207000,133.0
2486,一詮精密,0.75,199000,289.0
6147,頎邦,0.69,190000,265.0
3189,景碩科技,1.81,188000,696.0
5483,中美晶,0.38,169000,162.0
2474,可成,0.44,155000,195.0
3010,華立,0.28,147000,141.0
2850,新光產險,0.28,146000,139.0
3374,精材,0.49,141000,250.5
2330,台積電,4.36,138000,2270.0
2206,三陽工業,0.11,131000,59.4
3037,欣興,1.81,122000,1085.0
2606,裕民,0.12,120000,70.0
2357,華碩,1.14,118000,699.0
6023,元大期貨,0.16,115000,98.8
3105,穩懋,0.85,110000,560.0
3711,日月光投控,0.94,106000,611.0
9910,豐泰,0.1,104000,67.5
4915,致伸,0.1,99000,72.4
2467,志聖,0.88,97000,668.0
6187,萬潤科技,1.48,95000,1130.0
3227,原相,0.29,94000,226.5
2455,全新,0.5,87000,423.5
3005,神基科技,0.1,74000,104.0
2377,微星,0.13,74000,126.0
6176,瑞儀光電,0.1,73000,105.0
8155,博智電子,0.4,73000,400.5
6451,訊芯-KY,0.55,66000,632.0
9917,中保,0.1,64000,113.0
2313,華通,0.23,60000,284.5
2360,致茂,1.91,53000,2500.0
6274,台燿,1.14,51000,1630.0
5904,寶雅,0.38,49000,557.0
4991,環宇-KY,0.52,48000,783.0
2368,金像電子,0.91,48000,1445.0
3596,智易科技,0.12,45000,191.5
6584,南俊國際,0.39,41000,688.0
6139,亞翔工程,0.46,41000,826.0
3264,欣銓,0.12,38000,229.5
3563,牧德,0.38,33000,890.0
2345,智邦,1.15,32000,2620.0
8046,南電,0.37,30000,922.0
2308,台達電子,0.94,27000,2350.0
3163,波若威科技,0.39,26000,1100.0
3665,貿聯-KY,0.73,25000,2265.0
1560,中砂,0.23,23000,742.0
3167,大量,0.26,23000,831.0
2383,台光電子,1.68,23000,5290.0
8996,高力,0.37,22000,1245.0
3017,奇鋐,0.82,22000,2725.0
3081,聯亞光電,0.87,22000,2885.0
6121,新普科技,0.11,20000,396.5
7751,竑騰,0.44,19000,1700.0
6472,保瑞,0.08,17000,355.5
6683,雍智科技,0.32,13000,1780.0
6223,旺矽,1.05,12000,6390.0
8210,勤誠興業,0.17,9000,1440.0
6515,穎崴,1.21,9000,8905.0
3131,弘塑科技,0.38,8000,3425.0
6805,富世達,0.17,7000,1785.0
2454,聯發科,0.45,7000,4265.0
3443,創意電子,0.35,5000,5285.0
5274,信驊科技,0.5,2000,18230.0
202606TX,台指期貨,1.54,14,0.0
