code,name,weight,shares,price
1402,遠東新,2.04,7040000,28.7
2618,長榮航,2.51,5919000,42.55
2845,遠東銀行,0.77,5656094,13.55
5876,上海商銀,2.67,5496000,47.5
1102,亞泥,1.84,5128000,35.4
2542,興富發,1.68,3571000,48.2
2633,台灣高鐵,0.81,3057000,26.1
2897,王道銀行,0.33,3028000,10.85
1409,新纖,0.69,2720000,26.85
4763,材料*-KY,1.17,2382000,48.3
3045,台灣大,2.89,2373000,119.5
6548,長科*,1.44,2010000,70.8
1326,台化,1.43,1980000,71.8
5871,中租-KY,2.18,1908840,112.0
2903,遠百,0.4,1770000,22.4
1229,聯華實業,0.71,1678000,41.95
2006,東和鋼鐵,1.3,1579000,82.0
2603,長榮海運,3.57,1526000,234.0
1907,永豐餘,0.38,1283000,29.2
1808,潤隆,0.4,1159000,35.1
2520,冠德,0.4,1084000,36.9
1303,南亞,2.63,1063000,236.5
9933,中鼎,0.41,994619,40.15
5904,寶雅*,0.65,902000,71.5
2851,中央再保,0.4,855000,45.5
6177,達麗,0.4,839000,48.45
2344,華邦電子,1.46,801000,183.0
3264,欣銓,1.94,797000,240.0
7780,大研生醫*,0.12,705000,16.65
2303,聯電,0.99,685000,141.5
8415,大國鋼,0.23,635000,36.35
2464,盟立,1.19,606000,197.5
2615,萬海,0.66,592000,116.0
5351,鈺創,0.68,585000,115.5
5534,長虹,0.38,505000,75.8
2301,光寶科技,1.32,446000,292.5
9802,鈺齊-KY,0.3,445000,71.2
6005,群益證券,0.14,444876,32.2
2408,南亞科,2.3,441000,523.0
6592,和潤企業,0.24,387000,60.5
3234,光環,0.74,372000,195.0
6214,精誠資訊,0.7,367000,187.5
2379,瑞昱,2.55,362000,705.0
6139,亞翔工程,2.21,290000,750.0
2351,順德,0.66,278000,237.5
4967,十銓,0.7,249000,281.5
6213,聯茂,1.3,248000,523.0
2850,新光產險,0.39,242000,158.0
3006,晶豪,0.74,235000,306.5
2467,志聖,1.29,221000,581.0
8039,台虹科技,0.59,211000,289.5
3711,日月光投控,1.36,207000,640.0
2395,研華,1.33,199000,653.0
3450,聯鈞,0.96,182000,520.0
6446,藥華醫藥,2.41,180424,1345.0
3037,欣興,1.79,178000,993.0
3532,台勝科,0.74,177000,424.0
3189,景碩科技,1.47,175000,812.0
3260,威剛科技,0.68,165000,407.0
6187,萬潤科技,2.14,165000,1280.0
2330,台積電,4.04,162000,2465.0
6173,信昌電陶,0.48,160000,295.0
8021,尖點,0.69,155000,442.5
5880,合作金庫,0.04,154150,26.85
6426,統新,0.49,151000,321.0
6584,南俊國際,0.84,149000,554.0
2455,全新,0.78,144000,533.0
6670,復盛應用,0.38,136000,279.5
3044,健鼎科技,0.69,135000,509.0
5306,桂盟,0.12,122000,93.7
4958,臻鼎-KY,0.59,117000,502.0
8046,南電,1.18,109000,1110.0
1560,中砂,0.54,73000,730.0
6669,緯穎,1.68,70741,2325.0
2357,華碩,0.68,68000,979.0
3374,精材,0.33,67000,488.0
2313,華通,0.15,66000,228.0
2885,元大金,0.03,44880,69.7
3017,奇鋐,1.54,44000,3380.0
2404,漢唐,0.39,36000,1065.0
2383,台光電子,1.96,36000,5375.0
3665,貿聯-KY,0.63,32000,1975.0
4123,晟德,0.01,30842,30.35
7750,新代,0.65,29000,2270.0
3008,大立光電,1.63,24000,6870.0
2059,川湖,2.68,21000,12400.0
2546,根基,0.02,19560,104.0
3653,健策,1.12,19000,5760.0
3443,創意電子,0.88,14000,5925.0
6274,台燿,0.1,7000,1395.0
3661,世芯-KY,0.29,7000,3905.0
2454,聯發科,0.29,6000,4625.0
6531,愛普科技,0.04,4000,999.0
6223,旺矽,0.17,3000,5620.0
5289,宜鼎國際,0.02,1355,1290.0
5274,信驊科技,0.23,1200,18700.0
1795,美時製藥,0.0,572,179.0
202609TX,台指期貨,2.16,24,0.0
