code,name,weight,shares,price
2885,元大金,1.66,34870000,54.7
2887,台新新光金,0.62,30062000,23.6
2891,中信金,1.19,23811000,55.4
2330,台積電,41.95,22155000,2205.0
2317,鴻海,4.51,21664000,245.0
2883,凱基金,0.39,21004000,21.65
2884,玉山金,0.54,19813000,32.0
2890,永豐金,0.46,17641000,30.1
2892,第一金,0.35,14738000,29.0
2886,兆豐金,0.51,14684000,40.65
5880,合庫金,0.28,14434000,22.8
2303,聯電,1.34,14361000,113.0
2412,中華電,1.66,13780000,142.5
2880,華南金,0.37,13210000,32.2
2881,富邦金,1.04,12470000,97.2
2882,國泰金,0.81,12006000,77.8
1303,南亞,0.48,6892000,81.7
1216,統一,0.38,6000000,74.8
3711,日月光投控,2.45,5942000,472.0
2344,華邦電,0.4,4020000,117.5
3231,緯創,0.44,3808000,132.5
2308,台達電,6.21,3741000,1915.0
2382,廣達,0.87,3454000,290.0
3037,欣興,2.26,3167000,818.0
4904,遠傳,0.26,3132000,98.0
6505,台塑化,0.13,3040000,51.3
3045,台灣大,0.28,2842000,116.5
2454,聯發科,7.56,2700000,3155.0
2301,光寶科,0.48,2694000,206.5
2603,長榮,0.48,2618000,197.0
2327,國巨*,1.09,2415000,497.0
4958,臻鼎-KY,0.82,2148000,408.5
2408,南亞科,0.44,1835000,274.5
2449,京元電子,0.34,1427000,289.0
2345,智邦,2.56,1256000,2390.0
2357,華碩,0.49,883000,642.0
8046,南電,0.43,593000,798.0
3665,貿聯-KY,0.9,531000,1990.0
2360,致茂,0.87,487000,2055.0
2368,金像電,0.45,422000,1285.0
3017,奇鋐,0.83,409000,2390.0
2383,台光電,1.52,398000,4535.0
3653,健策,0.77,295000,3090.0
3443,創意電子,0.98,245000,4465.0
6669,緯穎,0.63,148000,4890.0
3008,大立光,0.39,140000,3365.0
7769,鴻勁,0.79,130000,6600.0
3661,世芯-KY,0.39,98000,4430.0
2059,川湖,0.34,88000,4450.0
6515,穎崴,0.28,36000,9490.0
202606TX,臺股期貨,4.31,620,0.0
