code,name,weight,shares,price
2885,元大金,1.93,50806000,68.0
2887,台新新光金,0.87,44098350,35.3
2891,中信金,1.25,34452000,64.8
2330,台積電,42.13,31826000,2370.0
2317,鴻海,4.49,31795000,253.0
2883,凱基金,0.52,30401000,30.4
2884,玉山金,0.61,28620000,38.45
2890,永豐金,0.58,26076100,40.05
2886,兆豐金,0.61,21316000,51.6
2892,第一金,0.43,21254000,35.95
5880,合庫金,0.31,20825000,26.9
2303,聯電,1.35,20412000,118.0
2412,中華電,1.55,20015000,139.0
2880,華南金,0.46,19050000,43.05
2881,富邦金,1.32,18197000,129.5
2882,國泰金,0.98,17423000,100.5
1303,南亞,0.9,9796000,165.0
1216,統一,0.36,8729000,73.0
3711,日月光投控,2.84,8346000,610.0
3231,緯創,0.58,5610000,186.0
2308,台達電,4.92,5570000,1580.0
2344,華邦電,0.44,5567000,143.0
2382,廣達,0.81,4902000,296.5
4904,遠傳,0.26,4568000,103.5
3037,欣興,2.17,4487000,865.0
6505,台塑化,0.17,4415000,67.7
3045,台灣大,0.26,4135000,112.0
2603,長榮,0.45,3848000,207.5
2454,聯發科,8.29,3798000,3910.0
2301,光寶科,0.48,3757000,229.5
2327,國巨*,1.03,3339000,552.0
4958,臻鼎-KY,0.7,2970000,421.5
2408,南亞科,0.56,2538000,396.5
2449,京元電子,0.27,2079450,233.5
2345,智邦,2.28,1745000,2335.0
2357,華碩,0.57,1271000,799.0
8046,南電,0.45,839000,953.0
3665,貿聯-KY,0.86,734000,2095.0
2360,致茂,0.77,702000,1960.0
3017,奇鋐,0.83,580000,2550.0
2368,金像電,0.28,578000,872.0
2383,台光電,1.56,561000,4980.0
3653,健策,0.87,415000,3770.0
3443,創意電子,0.79,339000,4185.0
6669,緯穎,0.71,216000,5925.0
3008,大立光,0.44,199000,3960.0
7769,鴻勁,0.66,185000,6425.0
3661,世芯-KY,0.25,140000,3250.0
2059,川湖,0.63,130000,8635.0
6515,穎崴,0.19,53000,6250.0
202608TX,臺股期貨,3.04,630,0.0
