code,name,weight,shares,price
3105,穩懋,3.87,3433000,547.0
2408,南亞科,1.39,3280000,208.0
6271,同欣電,0.95,2589000,176.5
3037,欣興,3.76,2310000,728.0
8996,高力,3.91,1689000,1210.0
8358,金居,1.12,1508000,359.5
6584,南俊國際,2.03,1337000,737.0
2330,台積電,5.9,1311000,2080.0
2337,旺宏,0.35,1271000,126.0
3036,文曄,0.48,1177000,206.0
8046,南電,1.99,1108000,795.0
3163,波若威,2.2,924000,1155.0
2344,華邦電,0.16,893000,87.8
6442,光聖,3.04,785000,2020.0
2345,智邦,3.16,716000,2080.0
8299,群聯,2.46,711000,1680.0
6531,愛普*,1.14,703000,785.0
4749,新應材,1.41,701000,980.0
4991,環宇-KY,0.85,692000,596.0
2368,金像電,1.92,669000,1265.0
3665,貿聯-KY,3.8,667000,2755.0
8021,尖點,0.61,661920,471.5
6274,台燿,1.37,636000,1045.0
3017,奇鋐,3.65,601000,2680.0
2486,一詮,0.26,567000,222.0
2383,台光電,4.95,537000,4100.0
2360,致茂,1.93,487000,1940.0
3189,景碩,0.53,486013,479.0
3533,嘉澤,2.43,468000,2460.0
6669,緯穎,4.44,465000,4250.0
6510,精測,3.16,422000,3630.0
3260,威剛,0.32,393000,400.0
7751,竑騰,1.92,388000,2405.0
3081,聯亞,2.21,380000,2820.0
2308,台達電,1.53,357000,1980.0
3711,日月光投控,0.33,320000,464.5
6805,富世達,1.18,298000,1910.0
6223,旺矽,2.77,289000,4650.0
3443,創意,2.16,260000,3910.0
2059,川湖,2.02,258000,3585.0
3653,健策,2.18,197000,5310.0
7769,鴻勁,1.89,194000,4810.0
3661,世芯-KY,1.5,173000,3980.0
3529,力旺,1.25,155000,3900.0
3131,弘塑,0.99,154000,3130.0
3324,雙鴻,0.38,151000,1215.0
6515,穎崴,3.13,151000,10730.0
5289,宜鼎,0.32,142000,1085.0
3491,昇達科,0.31,97000,1570.0
2454,聯發科,0.4,80000,2215.0
5274,信驊,1.52,45000,16370.0
