code,name,weight,shares,price
2884,玉山金融控股,0.79,3867622,34.55
2891,中國信託金融控股,1.19,2849000,70.3
2317,鴻海精密工業,1.88,1286000,248.5
2344,華邦電子,1.39,1153000,206.5
3036,文曄科技,1.33,1067000,215.5
3231,緯創資通,0.64,700000,153.0
2330,台灣積體電路製造,8.93,634000,2340.0
2408,南亞科技,1.53,568000,449.0
3037,欣興電子,3.26,562000,975.0
2382,廣達電腦,1.16,530000,362.0
2308,台達電子工業,5.38,475000,1810.0
4958,臻鼎科技控股,1.48,436000,580.0
2376,技嘉科技,0.82,424000,319.5
3711,日月光投資控股,1.49,400000,632.0
2368,金像電子（股）公司,2.7,393000,1190.0
2327,國巨,2.13,345000,1015.0
5904,寶雅國際,1.18,312450,638.0
2454,聯發科技,6.25,269000,3880.0
8996,高力熱處理工業,1.94,221000,1370.0
8046,南亞電路板,1.41,219000,1125.0
3081,聯亞光電工業,2.61,216000,2035.0
3264,欣銓科技,0.22,172000,215.5
3044,健鼎科技,0.49,164000,508.0
3653,健策精密工業,2.98,151000,3405.0
2360,致茂電子,1.77,143000,2035.0
3189,景碩科技,0.67,139000,797.0
2383,台光電子材料,4.34,134000,5255.0
3017,奇鋐科技,1.79,131000,2255.0
6274,台燿科技,1.2,130000,1555.0
2345,智邦科技,1.81,130000,2380.0
3293,鈊象電子,0.57,124000,769.0
8210,勤誠興業,0.81,112000,1230.0
2059,川湖科技,4.65,110000,6990.0
7769,鴻勁精密,3.53,93000,6500.0
6831,邁科科技,0.39,83000,797.0
8299,群聯電子,1.1,79000,2340.0
6223,旺矽科技,2.74,76000,6060.0
3443,創意電子,1.84,70000,4420.0
3529,力旺電子,1.03,60000,2900.0
6515,穎崴科技,2.62,55000,8190.0
6805,富世達,0.52,54000,1640.0
3665,貿聯控股（BizLink Holding In,0.6,53336,1855.0
6669,緯穎科技服務,1.06,39000,4280.0
6442,光紅建聖,0.35,37000,1680.0
3008,大立光電,0.91,35000,4720.0
3533,嘉澤端子工業,0.16,13000,2105.0
5274,信驊科技,1.17,13000,15210.0
