code,name,weight,shares,price
2330,台積電,16.32,312999,2215.0
8046,南電,4.16,190000,932.0
3037,欣興,3.59,187001,825.0
3711,日月光投控,2.06,177002,495.5
2449,京元電子,1.01,149000,283.5
2368,金像電,4.35,134000,1390.0
4958,臻鼎-KY,1.1,120000,394.0
6274,台燿,2.44,105000,975.0
2308,台達電,5.4,104499,2125.0
2345,智邦,4.8,91000,2295.0
2454,聯發科,5.41,88000,2615.0
3017,奇鋐,4.98,73500,2780.0
2467,志聖,0.87,66000,545.0
3105,穩懋,0.78,65000,502.0
2360,致茂,3.14,64000,2065.0
3665,貿聯-KY,4.18,63000,2630.0
2383,台光電,6.36,60000,4375.0
4979,華星光,0.48,36000,560.0
3653,健策,4.62,35501,4950.0
6669,緯穎,3.01,26000,4800.0
8358,金居,0.22,25000,369.5
6223,旺矽,2.94,24901,4945.0
6805,富世達,1.19,24001,2085.0
3443,創意,1.97,20050,4190.0
8299,群聯,0.89,18000,2070.0
7769,鴻勁,1.87,15000,5100.0
6515,穎崴,2.94,12100,10135.0
2059,川湖,1.09,11000,3980.0
3081,聯亞,0.58,10000,2445.0
6510,精測,0.87,10000,3630.0
1590,亞德客-KY,0.32,9000,1405.0
5274,信驊,3.04,7700,16555.0
4904,遠傳,0.0,3,94.4
3045,台灣大,0.0,1,111.0
2412,中華電,0.0,1,137.0
